,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2014-01-31 21:00:00+00:00,0.12783047553029867,0.043637200599999426,0.6639596381523232,-0.035248572994253546,0.12606287792673862,-0.02601125690438232,0.0,11955.984011999999,8916.76,8916.76,0.0,0.4271963472973963,8916.76,8916.76,2,-0.0055467365387304925,0.4271963472973963,0.4271963472973963,[],2014-01-31 21:00:00+00:00,2014-01,2014-01-31 14:31:00+00:00,62.46399999999994,20872.744012,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 409.33, 'amount': 12}, {'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 500.6, 'amount': 8}]",0.0030015934415097423,4.073429993677031,0.0,0.0,0,22.160366297491482,11955.984011999999,8854.296,8854.296,21,[],0.0
2014-02-03 21:00:00+00:00,0.12569898482253247,0.041039200599999326,0.6336974520784275,-0.05696044181847193,0.14178901620248693,0.03447982769122434,0.0,11955.984011999999,8864.8,8864.8,0.0,0.4257668680915569,8864.8,8864.8,2,-0.0055467365387304925,0.4271963472973963,0.4257668680915569,[],2014-02-03 21:00:00+00:00,2014-02,2014-02-03 14:31:00+00:00,-51.960000000002765,20820.784011999996,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 404.38, 'amount': 12}, {'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 501.53000000000003, 'amount': 8}]",-0.0024893708259023928,3.7273595697251425,0.0,0.0,0,19.159273120906846,11955.984011999999,8916.76,8916.76,22,[],0.0
2014-02-04 21:00:00+00:00,0.12295535960996662,0.04486120059999932,0.6674849359457209,-0.05035497781556286,0.14214789817436405,0.04220735137998056,0.0,11955.984011999999,8941.24,8941.24,0.0,0.42786735668171005,8941.24,8941.24,2,-0.0055467365387304925,0.42786735668171005,0.42786735668171005,"[{'dt': Timestamp('2014-02-04 21:00:00+0000', tz='UTC'), 'stop': None, 'commission': 0, 'sid': Equity(1979 [NFLX]), 'created': Timestamp('2014-02-04 21:00:00+0000', tz='UTC'), 'status': 0, 'limit_reached': False, 'filled': 0, 'stop_reached': False, 'reason': None, 'amount': -12, 'id': 'f3a66449c2c049dab63010fe06510cd6', 'limit': None}]",2014-02-04 21:00:00+00:00,2014-02,2014-02-04 14:31:00+00:00,76.44000000000233,20897.224012,"[{'sid': Equity(1979 [NFLX]), 'cost_basis': 336.979405, 'last_sale_price': 405.91, 'amount': 12}, {'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 508.79, 'amount': 8}]",0.003671331490492591,3.972007995373328,0.0,0.0,0,20.420018162823585,11955.984011999999,8864.8,8864.8,23,[],0.0
2014-02-05 21:00:00+00:00,0.12034517771823959,0.045365274599999506,0.6408622986754269,-0.05154594853007477,0.13905754721829275,0.04143484098909576,4850.601479999999,16806.585492000002,4100.72,4100.72,0.0,0.19613813944456424,4100.72,4100.72,1,-0.0055467365387304925,0.42786735668171005,0.19613813944456424,"[{'dt': Timestamp('2014-02-05 21:00:00+0000', tz='UTC'), 'stop': None, 'commission': 0.012, 'sid': Equity(1979 [NFLX]), 'created': Timestamp('2014-02-04 21:00:00+0000', tz='UTC'), 'status': 1, 'limit_reached': False, 'filled': -12, 'stop_reached': False, 'reason': None, 'amount': -12, 'id': 'f3a66449c2c049dab63010fe06510cd6', 'limit': None}]",2014-02-05 21:00:00+00:00,2014-02,2014-02-05 14:31:00+00:00,10.081480000004376,20907.305492000003,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 512.59, 'amount': 8}]",0.000482431541826589,3.9311591758562034,0.0,0.0,0,20.20642904828835,11955.984011999999,8941.24,8941.24,24,"[{'price': 404.21779000000004, 'commission': None, 'dt': Timestamp('2014-02-05 21:00:00+0000', tz='UTC'), 'order_id': 'f3a66449c2c049dab63010fe06510cd6', 'sid': Equity(1979 [NFLX]), 'amount': -12}]",0.0
2014-02-06 21:00:00+00:00,0.11796694467037899,0.04533327459999925,0.5876851957537357,-0.03903878833483254,0.14459305955298024,0.022603507889262155,0.0,16806.585492000002,4100.08,4100.08,0.0,0.19611353142704216,4100.08,4100.08,1,-0.0055467365387304925,0.42786735668171005,0.19611353142704216,[],2014-02-06 21:00:00+00:00,2014-02,2014-02-06 14:31:00+00:00,-0.6400000000030559,20906.665492,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 512.51, 'amount': 8}]",-3.061130953718738e-05,3.8473798481334014,0.0,0.0,0,19.784547956188952,16806.585492000002,4100.72,4100.72,25,[],0.0
2014-02-07 21:00:00+00:00,0.11562077307592428,0.048201274599999344,0.5989260269276315,-0.027126738140022755,0.14817672889126532,0.026465832683940007,0.0,16806.585492000002,4157.4400000000005,4157.4400000000005,0.0,0.19831305784218325,4157.4400000000005,4157.4400000000005,1,-0.0055467365387304925,0.42786735668171005,0.19831305784218325,[],2014-02-07 21:00:00+00:00,2014-02,2014-02-07 14:31:00+00:00,57.36000000000058,20964.025492,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 519.6800000000001, 'amount': 8}]",0.002743622603133433,4.004465406605872,0.0,0.0,0,20.582485556392786,16806.585492000002,4100.08,4100.08,26,[],0.0
2014-02-10 21:00:00+00:00,0.11349655943041498,0.051925274599999405,0.6243065635090317,-0.0253401896782538,0.14556014621341995,0.028525799366352054,0.0,16806.585492000002,4231.92,4231.92,0.0,0.20115117024872364,4231.92,4231.92,1,-0.0055467365387304925,0.42786735668171005,0.20115117024872364,[],2014-02-10 21:00:00+00:00,2014-02,2014-02-10 14:31:00+00:00,74.4800000000032,21038.505492000004,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 528.99, 'amount': 8}]",0.0035527527873129294,4.220482885794081,0.0,0.0,0,21.699885994665035,16806.585492000002,4157.4400000000005,4157.4400000000005,27,[],0.0
2014-02-11 21:00:00+00:00,0.1113976386759678,0.05471327459999942,0.6307241598989466,-0.014673294390295188,0.14719925122318317,0.030551418021155553,0.0,16806.585492000002,4287.68,4287.68,0.0,0.20326282522736344,4287.68,4287.68,1,-0.0055467365387304925,0.42786735668171005,0.20326282522736344,[],2014-02-11 21:00:00+00:00,2014-02,2014-02-11 14:31:00+00:00,55.7599999999984,21094.265492000002,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 535.96, 'amount': 8}]",0.002650378375079976,4.360560848358311,0.0,0.0,0,22.409289235798127,16806.585492000002,4231.92,4231.92,28,[],0.0
2014-02-12 21:00:00+00:00,0.1095401196456663,0.0546972745999994,0.6029135998687805,-0.01418609171809293,0.14457569578628668,0.029747201233594794,0.0,16806.585492000002,4287.36,4287.36,0.0,0.2032507385413509,4287.36,4287.36,1,-0.0055467365387304925,0.42786735668171005,0.2032507385413509,[],2014-02-12 21:00:00+00:00,2014-02,2014-02-12 14:31:00+00:00,-0.31999999999970896,21093.945492000003,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 535.92, 'amount': 8}]",-1.516999964379373e-05,4.280387387698172,0.0,0.0,0,22.013295255798617,16806.585492000002,4287.68,4287.68,29,[],0.0
2014-02-13 21:00:00+00:00,0.10770780630079774,0.058101274599999364,0.6194183650648946,-0.009096716019615925,0.1429902108705251,0.032514972984004624,0.0,16806.585492000002,4355.4400000000005,4355.4400000000005,0.0,0.20581394732968789,4355.4400000000005,4355.4400000000005,1,-0.0055467365387304925,0.42786735668171005,0.20581394732968789,[],2014-02-13 21:00:00+00:00,2014-02,2014-02-13 14:31:00+00:00,68.07999999999811,21162.025492,"[{'sid': Equity(8 [AAPL]), 'cost_basis': 500.03289099999995, 'last_sale_price': 544.4300000000001, 'amount': 8}]",0.0032274663848836926,4.459804191448367,0.0,0.0,0,22.937885069877595,16806.585492000002,4287.36,4287.36,30,[],0.0
